dataset,image_id,image_path,mask_path,fov_path,comparison_path,baseline_accuracy,ca_apsrg_accuracy,delta_accuracy,baseline_precision,ca_apsrg_precision,delta_precision,baseline_recall,ca_apsrg_recall,delta_recall,baseline_specificity,ca_apsrg_specificity,delta_specificity,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,baseline_iou,ca_apsrg_iou,delta_iou,baseline_false_positive_rate,ca_apsrg_false_positive_rate,delta_false_positive_rate,baseline_false_negative_rate,ca_apsrg_false_negative_rate,delta_false_negative_rate,baseline_balanced_accuracy,ca_apsrg_balanced_accuracy,delta_balanced_accuracy,baseline_dice,ca_apsrg_dice,delta_dice,ca_apsrg_applied,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_01L_comparison.png,0.9169565398732066,0.9208896396396395,0.003933099766432968,0.4424940722509218,0.4579578314944271,0.015463759243505293,0.7338117664648277,0.7316438663377439,-0.0021679001270837883,0.9306869322034848,0.9350774248869312,0.00439049268344649,0.5520798182268115,0.5633180232758919,0.011238205049080352,0.3812916106678682,0.3920965338204894,0.010804923152621215,0.0693130677965151,0.0649225751130689,-0.004390492683446198,0.2661882335351723,0.2683561336622561,0.0021679001270837883,0.8322493493341563,0.8333606456123375,0.0011112962781811841,0.5520798182268115,0.5633180232758919,0.011238205049080352,True,0.1156562812812812,110919,959040,1072,103.46921641791045,27.0,591.5696147766532,8,15679,132,0.1231343283582089,1258,0.0113416096430728,15679,0.1413554034926387,24826,0.2238209864856336,3119,3803,0.1256344155321034,0.1531861757834528,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_01R_comparison.png,0.9147543376710044,0.9197353603603604,0.004981022689355963,0.4579076574450004,0.4794592609502635,0.021551603505263084,0.6658200389906368,0.6631977813778522,-0.002622257612784562,0.935214544765189,0.9408204901365604,0.00560594537137149,0.5426298476066865,0.5565560029725386,0.013926155365852066,0.3723349532825084,0.3855750580685328,0.013240104786024443,0.064785455234811,0.0591795098634397,-0.005605945371371296,0.3341799610093632,0.3368022186221477,0.0026222576127845065,0.8005172918779129,0.8020091357572063,0.001491843879293464,0.5426298476066865,0.5565560029725386,0.013926155365852066,True,0.1104333500166833,105910,959040,1159,91.3805004314064,24.0,520.4954359816691,8,13866,183,0.1578947368421052,1750,0.0165234633179114,13866,0.1309224813520914,25655,0.2422339722405816,3391,4073,0.1321769635548626,0.1587604755408302,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_02L_comparison.png,0.9090058808808807,0.9130484651317984,0.004042584250917636,0.4558695753725417,0.472847811250853,0.01697823587831132,0.6270110511436648,0.6232331020303264,-0.003777949113338397,0.933908672068269,0.9386418828442388,0.004733210775969776,0.5279164750750588,0.5377238206108986,0.00980734553583984,0.3586185607925857,0.3677306846614603,0.009112123868874611,0.066091327931731,0.0613581171557613,-0.0047332107759697,0.3729889488563351,0.3767668979696736,0.003777949113338508,0.7804598616059669,0.7809374924372825,0.0004776308313155786,0.5279164750750588,0.5377238206108986,0.00980734553583984,True,0.1116063980647314,107035,959040,1046,102.32791586998088,25.0,645.5121867891899,8,19221,155,0.1481835564053537,1470,0.0137338253842201,19221,0.1795767739524454,25304,0.2364086513757182,3114,3850,0.1230635472652545,0.1521498577300031,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_02R_comparison.png,0.9105209376042708,0.914696988655322,0.004176051051051233,0.4462887936120835,0.4643978141626617,0.01810902055057817,0.6060088129256243,0.6025637601815996,-0.0034450527440246237,0.9363139738732116,0.941135553921846,0.004821580048634422,0.5140274773193191,0.5245349033191717,0.01050742599985266,0.3459199073156603,0.3555047859140505,0.00958487859839019,0.0636860261267884,0.0588644460781541,-0.004821580048634304,0.3939911870743757,0.3974362398184003,0.0034450527440246237,0.7711613933994179,0.7718496570517228,0.000688263652304899,0.5140274773193191,0.5245349033191717,0.01050742599985266,True,0.1060352018685352,101692,959040,1060,95.93584905660376,26.0,348.1622339767416,8,5194,174,0.1641509433962264,1642,0.0161467962081579,5194,0.0510757975061951,25243,0.2482299492585454,3239,4130,0.1283127995880046,0.1636097135839638,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_03L_comparison.png,0.9328797547547548,0.9359797297297298,0.0030999749749749395,0.5546755831220389,0.5721818828600724,0.017506299738033526,0.73021171338901,0.7272727272727273,-0.002938986116282738,0.9501224197935382,0.9537361796878182,0.003613759894280033,0.6304531284983552,0.6404722030285641,0.010019074530208893,0.4603370221327967,0.4710990128008545,0.010761990668057775,0.0498775802064617,0.0462638203121817,-0.0036137598942799984,0.2697882866109899,0.2727272727272727,0.0029389861162827935,0.8401670665912742,0.8405044534802728,0.00033738688899864755,0.6304531284983552,0.6404722030285641,0.010019074530208893,True,0.1032209292625959,98993,959040,880,112.49204545454543,26.0,708.7888965952593,8,16439,117,0.1329545454545454,1105,0.0111624054226056,16439,0.1660622468255331,22372,0.2259957774792157,2616,3174,0.1169318791346325,0.1418737707849097,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_03R_comparison.png,0.9262919169169168,0.9297401568234902,0.0034482399065733915,0.5088088699013326,0.5265587940757919,0.01774992417445931,0.6906974496347744,0.689744687314453,-0.0009527623203213764,0.9455357938415486,0.949343517339466,0.003807723497917359,0.5859627132740979,0.5972047870114654,0.01124207373736752,0.4143898599950294,0.4257248538360577,0.011334993841028262,0.0544642061584513,0.050656482660534,-0.0038077234979173036,0.3093025503652256,0.310255312685547,0.0009527623203214319,0.8181166217381615,0.8195441023269595,0.0014274805887980468,0.5859627132740979,0.5972047870114654,0.01124207373736752,True,0.1025087587587587,98310,959040,918,107.09150326797386,26.0,859.903850526341,8,24459,128,0.1394335511982571,1211,0.0123181771945885,24459,0.2487946292340555,22265,0.2264774692299867,2756,3384,0.1237817201886368,0.1519874242083988,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_04L_comparison.png,0.9141798048048048,0.9182390724057392,0.004059267600934446,0.4678944479932343,0.484842254784689,0.01694780679145469,0.6918635589612601,0.6902139208173691,-0.0016496381438909635,0.933086465008508,0.9376312407226386,0.004544775714130589,0.558252870108471,0.5695810644651326,0.011328194356661547,0.3872058133734392,0.3981917816630083,0.010985968289569104,0.0669135349914919,0.0623687592773614,-0.004544775714130499,0.3081364410387399,0.3097860791826309,0.001649638143891019,0.812475011984884,0.8139225807700039,0.0014475687851198682,0.558252870108471,0.5695810644651326,0.011328194356661547,True,0.1158961044377711,111149,959040,1107,100.4056007226739,28.0,591.6773646006214,8,10194,143,0.1291779584462511,1357,0.0122088367866557,10194,0.0917147252786799,25533,0.2297186659349162,3307,4146,0.1295186621235264,0.1623780989307954,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_04R_comparison.png,0.911646021021021,0.9189126626626628,0.007266641641641813,0.448739511590104,0.4800748079255964,0.031335296335492424,0.6469169917641959,0.6432731902904204,-0.003643801473775521,0.9337235205870658,0.9419000560315224,0.008176535444456623,0.5299055206351143,0.5498193859121011,0.019913865276986797,0.3604567788486938,0.3791385573430202,0.018681778494326395,0.0662764794129342,0.0580999439684777,-0.008176535444456498,0.3530830082358041,0.3567268097095795,0.00364380147377541,0.7903202561756308,0.7925866231609713,0.00226636698534044,0.5299055206351143,0.5498193859121011,0.019913865276986797,True,0.1109724307640974,106427,959040,1468,72.49795640326975,20.0,394.4359465564444,8,11842,330,0.2247956403269754,3061,0.028761498491924,11842,0.1112687569883582,24632,0.2314450280473939,3806,3411,0.1545144527443975,0.1384784020785969,normal,medium,normal,normal,normal,medium,18,8,0,0,False,False,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_05L_comparison.png,0.9236924424424424,0.9276182432432432,0.003925800800800738,0.5139055491154679,0.5342733462217366,0.02036779710626868,0.6713369589549782,0.6695987674642156,-0.0017381914907625973,0.9453934383347732,0.9498063071071308,0.004412868772357581,0.582165736014525,0.5943301951296481,0.012164459115123094,0.4106021068908862,0.4228092494200404,0.012207142529154169,0.0546065616652266,0.0501936928928693,-0.0044128687723573035,0.3286630410450218,0.3304012325357843,0.0017381914907624862,0.8083651986448758,0.8097025372856732,0.0013373386407974364,0.582165736014525,0.5943301951296481,0.012164459115123094,True,0.1034419836503169,99205,959040,1055,94.03317535545024,25.0,555.8426384416927,8,14703,163,0.1545023696682464,1516,0.0152814878282344,14703,0.1482082556322766,23677,0.2386674058767199,3029,3557,0.1279300587067618,0.1502301811884951,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a01_legacy_polling_bfs\CHASEDB1\comparison\Image_05R_comparison.png,0.9277537954621288,0.9315648982315649,0.003811102769436081,0.5622372417677469,0.5838888947032412,0.021651652935494314,0.6845327749409157,0.6831735302401333,-0.0013592447007824138,0.9503919067857944,0.954684246338803,0.004292339553008562,0.6173870306865685,0.6296413335440038,0.012254302857435229,0.4465364092405023,0.4594719243629655,0.012935515122463215,0.0496080932142055,0.0453157536611969,-0.004292339553008596,0.3154672250590843,0.3168264697598668,0.0013592447007824693,0.817462340863355,0.8189288882894681,0.001466547426113074,0.6173870306865685,0.6296413335440038,0.012254302857435229,True,0.1036724224224224,99426,959040,940,105.77234042553192,26.0,494.60181844531866,8,7274,136,0.1446808510638297,1299,0.0130649930601653,7274,0.0731599380443747,22943,0.2307545310079858,2772,3317,0.1208211654971015,0.1445756875735518,normal,low,normal,normal,normal,low,18,8,0,0,False,False,True
