dataset,image_id,image_path,mask_path,fov_path,comparison_path,baseline_accuracy,ca_apsrg_accuracy,delta_accuracy,baseline_precision,ca_apsrg_precision,delta_precision,baseline_recall,ca_apsrg_recall,delta_recall,baseline_specificity,ca_apsrg_specificity,delta_specificity,baseline_f1_score,ca_apsrg_f1_score,delta_f1_score,baseline_iou,ca_apsrg_iou,delta_iou,baseline_false_positive_rate,ca_apsrg_false_positive_rate,delta_false_positive_rate,baseline_false_negative_rate,ca_apsrg_false_negative_rate,delta_false_negative_rate,baseline_balanced_accuracy,ca_apsrg_balanced_accuracy,delta_balanced_accuracy,baseline_dice,ca_apsrg_dice,delta_dice,ca_apsrg_applied,context_vessel_density,context_vessel_pixel_count,context_valid_area_pixel_count,context_component_count,context_mean_component_area,context_median_component_area,context_std_component_area,context_min_component_area,context_max_component_area,context_small_component_count,context_small_component_ratio,context_small_component_area_total,context_small_component_area_ratio,context_largest_component_area,context_largest_component_area_ratio,context_skeleton_pixel_count,context_skeleton_to_vessel_ratio,context_endpoint_count,context_branchpoint_count,context_endpoint_density,context_branchpoint_density,context_density_level,context_noise_level,context_recommended_refinement_level,selected_refinement_level,selected_density_level,selected_noise_level,selected_min_component_area,selected_hole_area,selected_closing_kernel_size,selected_opening_kernel_size,selected_use_opening,selected_use_closing,selected_use_skeleton_guard
CHASEDB1,Image_01L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_01L_comparison.png,0.9169565398732066,0.9179439856523188,0.0009874457791122504,0.4424940722509218,0.4475782110010298,0.0050841387501079915,0.7338117664648277,0.753786349704717,0.01997458323988932,0.9306869322034848,0.9302509093150854,-0.00043602288839938996,0.5520798182268115,0.5616585621264532,0.00957874389964164,0.3812916106678682,0.3904904269161658,0.009198816248297603,0.0693130677965151,0.0697490906849146,0.000436022888399501,0.2661882335351723,0.2462136502952829,-0.019974583239889404,0.8322493493341563,0.8420186295099013,0.009769280175744965,0.5520798182268115,0.5616585621264532,0.00957874389964164,True,0.1156562812812812,110919,959040,1072,103.46921641791045,27.0,591.5696147766532,8,15679,132,0.1231343283582089,1258,0.0113416096430728,15679,0.1413554034926387,24826,0.2238209864856336,3119,3803,0.1256344155321034,0.1531861757834528,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_01R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_01R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_01R_comparison.png,0.9147543376710044,0.9161202869536202,0.001365949282615797,0.4579076574450004,0.4646416750344007,0.006734017589400287,0.6658200389906368,0.6861116450204564,0.02029160602981961,0.935214544765189,0.9350249717333068,-0.000189573031882162,0.5426298476066865,0.5540649910750912,0.011435143468404685,0.3723349532825084,0.3831880324185893,0.010853079136080912,0.064785455234811,0.0649750282666931,0.0001895730318821065,0.3341799610093632,0.3138883549795436,-0.02029160602981961,0.8005172918779129,0.8105683083768817,0.010051016498968779,0.5426298476066865,0.5540649910750912,0.011435143468404685,True,0.1104333500166833,105910,959040,1159,91.3805004314064,24.0,520.4954359816691,8,13866,183,0.1578947368421052,1750,0.0165234633179114,13866,0.1309224813520914,25655,0.2422339722405816,3391,4073,0.1321769635548626,0.1587604755408302,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_02L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_02L_comparison.png,0.9090058808808807,0.9098827994661328,0.0008769185852520733,0.4558695753725417,0.4603117505995204,0.004442175226978706,0.6270110511436648,0.6413132870727319,0.014302235929067098,0.933908672068269,0.9336000090783232,-0.0003086629899458071,0.5279164750750588,0.5359428694158076,0.00802639434074881,0.3586185607925857,0.3660669096990457,0.007448348906460012,0.066091327931731,0.0663999909216767,0.0003086629899456961,0.3729889488563351,0.358686712927268,-0.014302235929067098,0.7804598616059669,0.7874566480755276,0.006996786469560701,0.5279164750750588,0.5359428694158076,0.00802639434074881,True,0.1116063980647314,107035,959040,1046,102.32791586998088,25.0,645.5121867891899,8,19221,155,0.1481835564053537,1470,0.0137338253842201,19221,0.1795767739524454,25304,0.2364086513757182,3114,3850,0.1230635472652545,0.1521498577300031,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_02R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_02R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_02R_comparison.png,0.9105209376042708,0.9115313229896564,0.0010103853853856704,0.4462887936120835,0.4520652163445333,0.005776422732449771,0.6060088129256243,0.6268126585658966,0.020803845640272378,0.9363139738732116,0.9356477973194594,-0.0006661765537522291,0.5140274773193191,0.5252868868510426,0.011259409531723552,0.3459199073156603,0.3561959829118198,0.010276075596159506,0.0636860261267884,0.0643522026805406,0.0006661765537521874,0.3939911870743757,0.3731873414341033,-0.020803845640272378,0.7711613933994179,0.7812302279426779,0.010068834543260019,0.5140274773193191,0.5252868868510426,0.011259409531723552,True,0.1060352018685352,101692,959040,1060,95.93584905660376,26.0,348.1622339767416,8,5194,174,0.1641509433962264,1642,0.0161467962081579,5194,0.0510757975061951,25243,0.2482299492585454,3239,4130,0.1283127995880046,0.1636097135839638,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_03L_comparison.png,0.9328797547547548,0.9340528028028028,0.0011730480480479644,0.5546755831220389,0.5592252641595464,0.004549681037507525,0.73021171338901,0.7502792701739455,0.020067556784935436,0.9501224197935382,0.9496879539828296,-0.00043446581070860635,0.6304531284983552,0.6408150747946979,0.010361946296342683,0.4603370221327967,0.471470116325712,0.011133094192915305,0.0498775802064617,0.0503120460171704,0.0004344658107087035,0.2697882866109899,0.2497207298260546,-0.020067556784935325,0.8401670665912742,0.8499836120783875,0.009816545487113304,0.6304531284983552,0.6408150747946979,0.010361946296342683,True,0.1032209292625959,98993,959040,880,112.49204545454543,26.0,708.7888965952593,8,16439,117,0.1329545454545454,1105,0.0111624054226056,16439,0.1660622468255331,22372,0.2259957774792157,2616,3174,0.1169318791346325,0.1418737707849097,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_03R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_03R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_03R_comparison.png,0.9262919169169168,0.9269926176176176,0.0007007007007008292,0.5088088699013326,0.511993614049092,0.0031847441477594884,0.6906974496347744,0.7085237707294846,0.017826321094710162,0.9455357938415486,0.9448376360082515,-0.000698157833297075,0.5859627132740979,0.5944358524336629,0.008473139159565046,0.4143898599950294,0.4229162030512078,0.008526343056178387,0.0544642061584513,0.0551623639917484,0.0006981578332970959,0.3093025503652256,0.2914762292705155,-0.017826321094710107,0.8181166217381615,0.8266807033688681,0.008564081630706655,0.5859627132740979,0.5944358524336629,0.008473139159565046,True,0.1025087587587587,98310,959040,918,107.09150326797386,26.0,859.903850526341,8,24459,128,0.1394335511982571,1211,0.0123181771945885,24459,0.2487946292340555,22265,0.2264774692299867,2756,3384,0.1237817201886368,0.1519874242083988,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_04L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_04L_comparison.png,0.9141798048048048,0.9152225141808475,0.001042709376042783,0.4678944479932343,0.4729158391808994,0.005021391187665092,0.6918635589612601,0.7127900170285227,0.020926458067262677,0.933086465008508,0.932438181094095,-0.0006482839144129615,0.558252870108471,0.5685890599215762,0.010336189813105134,0.3872058133734392,0.3972227988493816,0.01001698547594243,0.0669135349914919,0.0675618189059049,0.0006482839144130031,0.3081364410387399,0.2872099829714772,-0.020926458067262677,0.812475011984884,0.8226140990613089,0.010139087076424858,0.558252870108471,0.5685890599215762,0.010336189813105134,True,0.1158961044377711,111149,959040,1107,100.4056007226739,28.0,591.6773646006214,8,10194,143,0.1291779584462511,1357,0.0122088367866557,10194,0.0917147252786799,25533,0.2297186659349162,3307,4146,0.1295186621235264,0.1623780989307954,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_04R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_04R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_04R_comparison.png,0.911646021021021,0.91558016349683,0.003934142475809033,0.448739511590104,0.4659881449291936,0.017248633339089603,0.6469169917641959,0.6623591244039878,0.015442132639791883,0.9337235205870658,0.936697935871019,0.002974415283953258,0.5299055206351143,0.547086004542454,0.017180483907339728,0.3604567788486938,0.3765439704296935,0.016087191580999693,0.0662764794129342,0.0633020641289809,-0.0029744152839532995,0.3530830082358041,0.3376408755960121,-0.015442132639791994,0.7903202561756308,0.7995285301375035,0.009208273961872626,0.5299055206351143,0.547086004542454,0.017180483907339728,True,0.1109724307640974,106427,959040,1468,72.49795640326975,20.0,394.4359465564444,8,11842,330,0.2247956403269754,3061,0.028761498491924,11842,0.1112687569883582,24632,0.2314450280473939,3806,3411,0.1545144527443975,0.1384784020785969,normal,medium,normal,normal,normal,medium,14,16,3,3,False,True,True
CHASEDB1,Image_05L,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05L_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_05L_comparison.png,0.9236924424424424,0.9252565065065064,0.0015640640640639525,0.5139055491154679,0.5209838100962723,0.0070782609808043295,0.6713369589549782,0.6962115326371788,0.024874573682200585,0.9453934383347732,0.944952944120648,-0.00044049421412517553,0.582165736014525,0.5959847596717468,0.013819023657221763,0.4106021068908862,0.4244859617993946,0.013883854908508353,0.0546065616652266,0.0550470558793521,0.00044049421412550166,0.3286630410450218,0.3037884673628211,-0.024874573682200696,0.8083651986448758,0.8205822383789134,0.012217039734037649,0.582165736014525,0.5959847596717468,0.013819023657221763,True,0.1034419836503169,99205,959040,1055,94.03317535545024,25.0,555.8426384416927,8,14703,163,0.1545023696682464,1516,0.0152814878282344,14703,0.1482082556322766,23677,0.2386674058767199,3029,3557,0.1279300587067618,0.1502301811884951,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
CHASEDB1,Image_05R,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R.png,E:\ca_apsrg_retinal_project\data\working_png\CHASEDB1\CHASEDB1\Image_05R_1stHO.png,,E:\ca_apsrg_retinal_project\outputs\experiments_exp1_recall_oriented\CHASEDB1\comparison\Image_05R_comparison.png,0.9277537954621288,0.9295274441107776,0.0017736486486488179,0.5622372417677469,0.5695648306466757,0.007327588878928815,0.6845327749409157,0.7056806632134504,0.021147888272534665,0.9503919067857944,0.9503622730023696,-2.9633783424798388e-05,0.6173870306865685,0.6303584515592697,0.0129714208727012,0.4465364092405023,0.460236075838165,0.013699666597662696,0.0496080932142055,0.0496377269976304,2.963378342490247e-05,0.3154672250590843,0.2943193367865496,-0.02114788827253472,0.817462340863355,0.8280214681079099,0.010559127244554878,0.6173870306865685,0.6303584515592697,0.0129714208727012,True,0.1036724224224224,99426,959040,940,105.77234042553192,26.0,494.60181844531866,8,7274,136,0.1446808510638297,1299,0.0130649930601653,7274,0.0731599380443747,22943,0.2307545310079858,2772,3317,0.1208211654971015,0.1445756875735518,normal,low,normal,normal,normal,low,14,16,3,3,False,True,True
